address,location

"вул.Березняківська 36Ж, Київ","50.42382,30.59844"

"пр.Павла Тичини 10, Київ","50.4274,30.59637"

"пр.Павла Тичини 2, Київ","50.42748,30.59364"

"пр.Павла Тичини 1В (ТЦ Silver Breeze), Київ","50.42805,30.59328"

"вул.Юрія Шумського 1, Київ","50.4265,30.60327"

"пр.Павла Тичини 7, Київ","50.42809,30.6007"

"вул.Івана Миколайчука 3А, Київ","50.43071,30.59611"

"вул.Івана Миколайчука 7а, Київ","50.43195,30.59924"

"вул.Амвросія Бучми 2, Київ","50.43309,30.60207"

"пр.Павла Тичини 26д, Київ","50.43082,30.60906"

"вул.Березняківська 8, Київ","50.43462,30.61281"

"вул.Ентузіастів 13А, Київ","50.4385,30.60284"

"наб.Русанівська 12, Київ","50.44089,30.59235"

"вул.Регенераторна 4 (корп. 11), Київ","50.43517,30.6188"

"вул.Регенераторна 4 корп.10-5 (на території під охороною, у разі складнощів,телефонуйте), Київ","50.43594,30.61825"

"вул.Ентузіастів 37, Київ","50.44291,30.59939"

"вул.Регенераторна 4 (корпус 5), Київ","50.43531,30.62268"

"наб.Русанівська 20, Київ","50.44407,30.59174"

"вул.Регенераторна 4, Київ","50.43792,30.62056"

"наб.Русанівська 24/51, Київ","50.44518,30.59187"

"пр.Возз'єднання 5, Київ","50.44009,30.61956"

"вул.Тампере 12, Київ","50.44302,30.61379"

"вул.Євгена Сверстюка 6, Київ","50.44707,30.60386"

"ш.Харківське 16Д, Київ","50.43551,30.63011"

"пр.Соборності 6, Київ","50.44184,30.62228"

"ш.Харківське 19 (ТЦ ""Мегасіті""), Київ","50.43218,30.63391"

"вул.Раїси Окіпної 9, Київ","50.4484,30.59288"

"вул.Раїси Окіпної 10А, Київ","50.44818,30.5898"

"пр.Возз'єднання 4, Київ","50.44214,30.62337"

"вул.Харківське шосе 17А, Київ","50.43356,30.63475"

"вул.Раїси Окіпної 4, Київ","50.45011,30.59566"

"вул.Євгена Сверстюка 7 (праворуч від Roshen), Київ","50.45012,30.59965"

"вул.Євгена Сверстюка 2Б, Київ","50.45076,30.59781"

"пр.Юрія Гагаріна 2/35, Київ","50.44423,30.62696"

"вул.Лаврська 8, Київ","50.43674,30.55261"

"вул.Микільсько-Слобідська 2Б (пр. 292), Київ","50.45422,30.59213"

"вул.Привокзальна 14, Київ","50.42972,30.64476"

"вул.Микільсько-Слобідська 6Б, Київ","50.45411,30.58881"

"вул.Будівельників 36, Київ","50.45316,30.61173"

"вул.Михайла Драгомирова 10А, Київ","50.41451,30.54658"

"бул.Дружби Народів 30/1, Київ","50.41761,30.54533"

"бул.Праці 2/27, Київ","50.45253,30.62105"

"вул.Азербайджанська 8Б, Київ","50.44139,30.64141"

"вул.Митрополита Андрея Шептицького 24, Київ","50.45733,30.59298"

"ш.Харківське 144В, Київ","50.42115,30.65098"

"вул.Митрополита Андрея Шептицького 5, Київ","50.45768,30.58868"

"вул.Митрополита Андрея Шептицького 24, Київ","50.45805,30.59235"

"вул.Попудренка 26/9, Київ","50.45558,30.61781"

"вул.Митрополита Андрея Шептицького 5, Київ","50.45812,30.58875"

"бул.Верховної Ради 31, Київ","50.45186,30.62966"

"вул.Михайла Драгомирова 20, Київ","50.40942,30.54425"

"вул.Андрія Малишка 1 (автопарковка Готелю Братислава), Київ","50.45786,30.61074"

"бул.Верховної Ради 33/1, Київ","50.45227,30.63046"

"вул.Андрія Малишка 3, Київ","50.45834,30.61369"

"вул.Андрія Аболмасова 6, Київ","50.4594,30.58542"

"вул.Краківська 13 (КМКЛ №2, Опіковий центр), Київ","50.4567,30.62352"

"вул.Краківська 13 (вхід з вул. Попудренка або Мініна лікарня №2), Київ","50.45679,30.62374"

"бул.Дарницький 5, Київ","50.46083,30.61417"

"вул.Попудренка 36, Київ","50.45798,30.62577"

"вул.Каховська 62А (біля Арома Кава), Київ","50.46276,30.59264"

"вул.Каховська 60, Київ","50.46273,30.59088"

"вул.Гната Хоткевича 10, Київ","50.45639,30.63195"

"вул.Гната Хоткевича 8, Київ","50.45703,30.63148"

"вул.Гната Хоткевича 1Б (Ашан), Київ","50.45461,30.63789"

"вул.Попудренка 46/2 (Літ.А), Київ","50.45905,30.6302"

"бул.Дарницький 8А (в приміщенні магазину Сільпо), Київ","50.46443,30.61022"

"ш.Харківське 121 (КДЦ №2 Дарницького району), Київ","50.41581,30.66262"

"вул.Юності 6А, Київ","50.46382,30.61818"

"вул.Джона Маккейна 7Б (в приміщенні Смарт Медікал клініки), Київ","50.4145,30.52914"

"пров.Лабораторний 18, Київ","50.42795,30.52781"

"вул.Воскресенська 12в, Київ","50.46714,30.60313"

"вул.Миропільська 1, Київ","50.46296,30.6276"

"вул.Воскресенська 12А, Київ","50.46805,30.60251"

"вул.Братиславська 8, Київ","50.4648,30.62837"

"вул.Воскресенська 18, Київ","50.47023,30.60227"

"вул.Алма-Атинська 39з, Київ","50.44331,30.66522"

"вул.Алма-Атинська 39-З, Київ","50.4434,30.66517"

"вул.Антоновича 170/172, Київ","50.4148,30.52156"

"вул.Братиславська 14Б, Київ","50.46722,30.62951"

"вул.Братиславська 20, Київ","50.46825,30.6261"

"вул.Миропільська 39, Київ","50.47141,30.61201"

"вул.Антоновича 115, Київ","50.42136,30.51816"

"вул.Шолом-Алейхема 4, Київ","50.47023,30.62555"

"пр.Алішера Навої 3, Київ","50.47376,30.60291"

"вул.Шолом-Алейхема 3, Київ","50.47144,30.62622"

"вул.Антоновича 47А, Київ","50.43221,30.5139"

"вул.Макаренка 1А, Київ","50.4477,30.67309"

"вул.Льва Толстого 5А, Київ","50.43959,30.51405"

"вул.Саксаганського 39А, Київ","50.43582,30.51204"

"бул.Перова 20, Київ","50.47838,30.59588"

"вул.Петра Запорожця 26, Київ","50.47848,30.60443"

"вул.Мілютенка 26, Київ","50.4745,30.63063"

"вул.Академіка Курчатова 5, Київ","50.47638,30.62436"

"вул.Алма-Атинська 103/1, Київ","50.44926,30.67566"

"вул.Петра Запорожця 26А, Київ","50.4796,30.60425"

"бул.Перова 24, Київ","50.48013,30.59522"

"вул.Петра Запорожця 28, Київ","50.47993,30.60612"

"пр.Голосіївський 27, Київ","50.40039,30.51379"

"вул.Бориспільська 34, Київ","50.42452,30.68817"

"бул.Перова 15, Київ","50.48218,30.59343"

"пр.Лісовий 14, Київ","50.47977,30.62472"

"вул.Райдужна 25, Київ","50.48334,30.58904"

"вул.Богдана Хмельницького 42, Київ","50.44709,30.50845"

"бул.Перова 36, Київ","50.48447,30.5941"

"вул.Жилянська 74, Київ","50.4372,30.50226"

"бул.Перова 36, Київ","50.485,30.59486"

"вул.Сулеймана Стальського 22/10, Київ","50.48486,30.6042"

"вул.Сулеймана Стальського 24, Київ","50.48508,30.60542"

"вул.Саксаганського 72, Київ","50.43985,30.50193"

"вул.Жилянська 59, Київ","50.43781,30.49995"

"вул.Курнатовського 13а, Київ","50.4862,30.60245"

"пр.Лісовий 23, Київ","50.48236,30.63139"

"пр.Лісовий 25, Київ","50.4826,30.63188"

"вул.Кубанської України 10, Київ","50.4821,30.63565"

"вул.Братиславська 11 (в Епіцентрі), Київ","50.48664,30.60971"

"вул.Кубанської України 26, Київ","50.4858,30.63265"

"вул.Кисловодська 20, Київ","50.47224,30.66863"

"вул.Миколи Кибальчича 9, Київ","50.4913,30.59952"

"вул.Миколи Кибальчича 19В, Київ","50.4918,30.60168"

"вул.Миколи Кибальчича 19В, Київ","50.49195,30.60244"

"вул.Миколи Кибальчича 13а, Київ","50.49295,30.60043"

"вул.Миколи Кибальчича 11в, Київ","50.49309,30.59857"

"пр.Романа Шухевича 2В, Київ","50.49261,30.57915"

"вул.Радистів 14 (ЖК Лісова Казка), Київ","50.47598,30.67068"

"вул.Петра Вершигори 1, Київ","50.49325,30.57643"

"вул.Радистів 34Г (ЖК ""Лісова Казка""), Київ","50.47618,30.67181"

"пр.Голосіївський 108/1, Київ","50.3882,30.4944"

"вул.Василя Липківського 27/5, Київ","50.43235,30.47994"

"пр.Володимира Маяковського 1B, Київ","50.49741,30.58267"

"вул.Оноре де Бальзака 2, Київ","50.49771,30.57678"

"вул.Теодора Драйзера 8, Київ","50.50281,30.60519"

"вул.Михайла Максимовича 24а, Київ","50.39242,30.47203"

"вул.Практична 2, Київ","50.39253,30.47108"

"пр.Володимира Маяковського 32А, Київ","50.50888,30.61185"

"вул.Миколи Лаврухіна 4, Київ","50.51651,30.60205"

"пр.Володимира Маяковського 73А, Київ","50.51661,30.616"

"вул.Володимира Маяковського 73, Київ","50.5169,30.61654"

"вул.Кирилівська 116А, Київ","50.48167,30.47833"

"вул.Градинська 11, Київ","50.51905,30.59729"

"вул.Маршала Конєва 10/1, Київ","50.38242,30.45745"

"вул.Миколи Закревського 81/1, Київ","50.52185,30.62714"

"вул.Лісківська 12/1, Київ","50.52504,30.60015"

"пр.Героїв Сталінграда 27, Київ","50.50919,30.50627"

"вул.Радунська 5А, Київ","50.52723,30.60097"

"пр.Відрадний 61, Київ","50.42953,30.43148"

"пр.Академика Глушкова 31А, Київ","50.36617,30.45367"

"вул.Щусєва 2/19, Київ","50.47416,30.44743"

"вул.Радунська 13А, Київ","50.53087,30.59863"

"вул.Миколи Закревського 95А, Київ","50.52951,30.62651"

"вул.Милославська 41/15, Київ","50.53121,30.59839"

"вул.Миколи Закревського 93А, Київ","50.52962,30.62791"

"вул.Героїв Севастополя 44/10, Київ","50.42991,30.42476"

"вул.Миколи Закревського 103, Київ","50.53162,30.62174"

"вул.Булгакова 13, Київ","50.41125,30.40728"

"вул.Данила Щербаківського 32/38, Київ","50.46437,30.40619"

"вул.Академіка Корольова 8, Київ","50.42921,30.39331"

"вул.Юрія Кондратюка 8, Київ","50.52325,30.46491"

"пр.Маршала Рокоссовського 4, Київ","50.52067,30.45898"

"вул.Данила Щербаківського 60, Київ","50.47445,30.40623"

"бул.Кольцова 13, Київ","50.41986,30.38175"

"вул.Богатирська 30, Київ","50.54235,30.4886"

"пр.Василя Порика 13, Київ","50.50769,30.41976"

"вул.Зодчих 50, Київ","50.42727,30.36676"

"пр.Перемоги 119/121 (Поліклініка), Київ","50.45319,30.36373"

"пр.Перемоги 148/1, Київ","50.45526,30.34538"

"вул.Здолбунівська 4, Київ","50.4174,30.61848"

"вул.Урлівська 23Б (Біля зоомагазину), Київ","50.41024,30.61281"

"вул.Олени Пчілки 2а, Київ","50.41694,30.62485"

"наб.Дніпровська 23, Київ","50.40662,30.61214"

"вул.Урлівська 30, Київ","50.4095,30.61842"

